Statistical profiling result from fork-ccl-v8.log, (2357 ticks, 1 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
   1835   77.9%          /home/sereprec/.nvm/versions/node/v16.13.0/bin/node
     55    2.3%          /usr/lib/x86_64-linux-gnu/libc-2.31.so
      4    0.2%          /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.28
      1    0.0%          [vdso]

 [JavaScript]:
   ticks  total  nonlib   name
     14    0.6%    3.0%  RegExp: [ \t]*<%_
      9    0.4%    1.9%  LazyCompile: *normalizeString node:path:66:25
      9    0.4%    1.9%  LazyCompile: *next /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/express/lib/router/index.js:176:16
      8    0.3%    1.7%  LazyCompile: *resolve node:path:1091:10
      7    0.3%    1.5%  LazyCompile: *readPackage node:internal/modules/cjs/loader:290:21
      3    0.1%    0.6%  RegExp: _%>[ \t]*
      3    0.1%    0.6%  RegExp: (<%%|%%>|<%=|<%-|<%_|<%#|<%|%>|-%>|_%>)
      3    0.1%    0.6%  LazyCompile: *scanLine /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/ejs/lib/ejs.js:803:22
      3    0.1%    0.6%  Function: ^getEncodingOps node:buffer:678:24
      3    0.1%    0.6%  Function: ^Module._resolveFilename node:internal/modules/cjs/loader:848:35
      2    0.1%    0.4%  RegExp: d{1,4}|M{1,4}|YY(?:YY)?|S{1,3}|Do|ZZ|Z|([HhMsDm])\1?|[aA]|"[^"]*"|'[^']*'
      2    0.1%    0.4%  Function: ^Writable.write node:internal/streams/writable:333:36
      2    0.1%    0.4%  Function: ^Module._findPath node:internal/modules/cjs/loader:494:28
      1    0.0%    0.2%  RegExp: ;(\s*$)
      1    0.0%    0.2%  RegExp: ; *([!#$%&'*+.^_`|~0-9A-Za-z-]+) *= *("(?:[\u000b\u0020\u0021\u0023-\u005b\u005d-\u007e\u0080-\u00ff]|\\[\u000b\u0020-\u00ff])*"|[!#$%&'*+.^_`|~0-9A-Za-z-]+) *
      1    0.0%    0.2%  LazyCompile: *readFileSync node:fs:450:22
      1    0.0%    0.2%  LazyCompile: *parseTemplateText /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/ejs/lib/ejs.js:749:31
      1    0.0%    0.2%  LazyCompile: *nextTick node:internal/process/task_queues:104:18
      1    0.0%    0.2%  LazyCompile: *module.exports /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/utils-merge/index.js:16:36
      1    0.0%    0.2%  LazyCompile: *extname node:path:1385:10
      1    0.0%    0.2%  LazyCompile: *exports.shallowCopyFromList /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/ejs/lib/utils.js:135:40
      1    0.0%    0.2%  LazyCompile: *emit node:events:340:44
      1    0.0%    0.2%  LazyCompile: *compileFunction node:vm:308:25
      1    0.0%    0.2%  LazyCompile: *compile /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/ejs/lib/ejs.js:569:21
      1    0.0%    0.2%  LazyCompile: *basename node:path:1306:11
      1    0.0%    0.2%  LazyCompile: *Writable.write /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/readable-stream/lib/_stream_writable.js:288:37
      1    0.0%    0.2%  LazyCompile: *Module._load node:internal/modules/cjs/loader:757:24
      1    0.0%    0.2%  LazyCompile: *<anonymous> /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/ejs/lib/ejs.js:730:32
      1    0.0%    0.2%  Function: ^writeOrBuffer node:internal/streams/writable:365:23
      1    0.0%    0.2%  Function: ^write node:buffer:1050:40
      1    0.0%    0.2%  Function: ^wrapConversion /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/color/node_modules/color-convert/route.js:63:24
      1    0.0%    0.2%  Function: ^tryHandleCache /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/ejs/lib/ejs.js:252:24
