Statistical profiling result from autocannon-fork-scl-v8.log, (20239 ticks, 26 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
  15031   74.3%          /home/sereprec/.nvm/versions/node/v16.13.0/bin/node
    617    3.0%          /usr/lib/x86_64-linux-gnu/libc-2.31.so
     21    0.1%          /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.28
     12    0.1%          [vdso]

 [JavaScript]:
   ticks  total  nonlib   name
    341    1.7%    7.5%  RegExp: [ \t]*<%_
     98    0.5%    2.2%  LazyCompile: *next /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/express/lib/router/index.js:176:16
     88    0.4%    1.9%  LazyCompile: *scanLine /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/ejs/lib/ejs.js:803:22
     71    0.4%    1.6%  RegExp: (<%%|%%>|<%=|<%-|<%_|<%#|<%|%>|-%>|_%>)
     63    0.3%    1.4%  LazyCompile: *resolve node:path:1091:10
     54    0.3%    1.2%  LazyCompile: *compile /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/ejs/lib/ejs.js:569:21
     51    0.3%    1.1%  LazyCompile: *join node:path:1166:7
     44    0.2%    1.0%  RegExp: _%>[ \t]*
     29    0.1%    0.6%  LazyCompile: *_storeHeader node:_http_outgoing:374:22
     29    0.1%    0.6%  LazyCompile: *SendStream /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/send/index.js:96:21
     28    0.1%    0.6%  LazyCompile: *readFileSync node:fs:450:22
     28    0.1%    0.6%  LazyCompile: *processTicksAndRejections node:internal/process/task_queues:68:35
     27    0.1%    0.6%  LazyCompile: *send /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/express/lib/response.js:107:25
     27    0.1%    0.6%  LazyCompile: *<anonymous> :1:20
     25    0.1%    0.5%  LazyCompile: *pipe /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/send/index.js:510:43
     25    0.1%    0.5%  LazyCompile: *header /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/express/lib/response.js:759:29
     23    0.1%    0.5%  LazyCompile: *resOnFinish node:_http_server:788:21
     22    0.1%    0.5%  LazyCompile: *preferredEncodings /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/negotiator/lib/encoding.js:138:28
     21    0.1%    0.5%  LazyCompile: *store.generate /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/express-session/index.js:158:28
     21    0.1%    0.5%  LazyCompile: *parserOnIncoming node:_http_server:852:26
     21    0.1%    0.5%  LazyCompile: *parseTemplateText /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/ejs/lib/ejs.js:749:31
     21    0.1%    0.5%  LazyCompile: *exports.renderFile /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/ejs/lib/ejs.js:439:31
     20    0.1%    0.4%  LazyCompile: *end node:_http_outgoing:833:45
     20    0.1%    0.4%  LazyCompile: *<anonymous> /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/ejs/lib/ejs.js:730:32
     19    0.1%    0.4%  LazyCompile: *render /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/express/lib/application.js:531:29
     19    0.1%    0.4%  LazyCompile: *handle /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/express/lib/router/index.js:136:31
     19    0.1%    0.4%  LazyCompile: *_write node:internal/streams/writable:283:16
     19    0.1%    0.4%  LazyCompile: *Template /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/ejs/lib/ejs.js:507:18
     17    0.1%    0.4%  LazyCompile: *onwrite node:internal/streams/writable:425:17
     16    0.1%    0.4%  LazyCompile: *session /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/express-session/index.js:179:26
     16    0.1%    0.4%  LazyCompile: *get node:_http_incoming:108:16
     16    0.1%    0.4%  LazyCompile: *Writable.write /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/readable-stream/lib/_stream_writable.js:288:37
     15    0.1%    0.3%  LazyCompile: *parserOnHeadersComplete node:_http_common:77:33
     15    0.1%    0.3%  LazyCompile: *end /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/compression/index.js:92:28
     14    0.1%    0.3%  RegExp: [^\t\x20-\x7e\x80-\xff]
     14    0.1%    0.3%  RegExp: [&<>'"]
     14    0.1%    0.3%  LazyCompile: *vary /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/vary/index.js:133:15
     14    0.1%    0.3%  LazyCompile: *nextTick node:internal/process/task_queues:104:18
     14    0.1%    0.3%  LazyCompile: *doWrite node:internal/streams/writable:398:17
     13    0.1%    0.3%  LazyCompile: *serveStatic /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/serve-static/index.js:72:31
     13    0.1%    0.3%  LazyCompile: *authenticate /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/passport/lib/middleware/authenticate.js:94:31
     13    0.1%    0.3%  LazyCompile: *allocate node:buffer:397:18
     12    0.1%    0.3%  LazyCompile: *getStatsFromBinding node:internal/fs/utils:530:29
     12    0.1%    0.3%  LazyCompile: *format /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/content-type/index.js:65:17
     12    0.1%    0.3%  LazyCompile: *basename node:path:1306:11
     11    0.1%    0.2%  LazyCompile: *set maxAge /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/express-session/session/cookie.js:83:13
     11    0.1%    0.2%  LazyCompile: *readSync node:fs:684:18
     11    0.1%    0.2%  LazyCompile: *onstat /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/send/index.js:721:33
     11    0.1%    0.2%  LazyCompile: *insert node:internal/timers:350:16
     11    0.1%    0.2%  LazyCompile: *exports.shallowCopy /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/ejs/lib/utils.js:115:32
     10    0.0%    0.2%  LazyCompile: *writeHead node:_http_server:269:19
     10    0.0%    0.2%  LazyCompile: *showAppInfo file:///home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/src/controllers/webServerController.js:27:28
     10    0.0%    0.2%  LazyCompile: *processPromiseRejections node:internal/process/promises:203:34
